Date,Total Load [MW],Forecast Total Load [MW]
2021-01-31,36372.24,36405.93
2021-02-28,37143.29,37127.87
2021-03-31,35834.88,35808.33
2021-04-30,33989.83,33910.29
2021-05-31,33558.21,33025.32
2021-06-30,38062.78,37801.49
2021-07-31,40891.73,40878.19
2021-08-31,35823.76,35899.54
2021-09-30,37468.38,37653.93
2021-10-31,35379.41,35539.38
2021-11-30,36999.63,36982.38
2021-12-31,36917.39,37172.75
2022-01-31,36820.35,36898.96
2022-02-28,37879.61,38135.71
2022-03-31,36979.99,37141.22
2022-04-30,34050.97,34085.14
2022-05-31,35178.38,35201.4
2022-06-30,38930.1,39354.68
2022-07-31,41695.57,42254.32
2022-08-31,34366.87,35044.96
2022-09-30,35741.15,36106.02
2022-10-31,32778.78,33045.49
2022-11-30,34162.7,34477.39
2022-12-31,33164.94,33587.42
2023-01-31,35177.06,35479.68
2023-02-28,37056.88,37571.71
2023-03-31,35070.28,35613.46
2023-04-30,32265.36,32680.93
2023-05-31,32564.52,33155.97
2023-06-30,35151.27,35519.09
2023-07-31,40256.28,40690.76
2023-08-31,34149.46,34629.33
2023-09-30,35795.32,36209.22
2023-10-31,34031.21,34333.11
2023-11-30,34479.88,34916.65
2023-12-31,33320.2,33575.85
2024-01-31,35866.67,35988.47
2024-02-29,36298.33,36558.25
2024-03-31,34530.83,34705.26
2024-04-30,32489.76,32802.03
2024-05-31,33220.81,33480.05
2024-06-30,35637.29,35748.57
2024-07-31,42031.78,42033.97
2024-08-31,36931.11,36932.79
2024-09-30,35573.41,35846.16
2024-10-31,34211.82,34404.13
2024-11-30,34896.91,35102.37
2024-12-31,34538.21,34687.13
2025-01-31,36162.43,36338.47
2025-02-28,37018.27,37318.32
2025-03-31,34347.08,34566.61
2025-04-30,32473.96,32681.41
2025-05-31,32587.57,32649.38
2025-06-30,38263.99,37946.81
2025-07-31,40336.05,40744.5
2025-08-31,33245.32,33546.17
2025-09-30,36069.95,36179.28
2025-10-31,34136.16,34369.56
2025-11-30,35391.86,35233.7
2025-12-31,35144.01,34974.4
2026-01-31,37402.52,37290.83
2026-02-28,37917.37,37941.31
