Date,Biomass,Geothermal,Hydro,Photovoltaic,Wind
2021-01,1579.2,464.485,3735.671,902.158,2615.172
2021-02,1418.232,426.85,3590.643,1423.348,1699.267
2021-03,1566.634,475.56,3263.113,2319.726,1838.063
2021-04,1487.184,459.04,3345.19,2371.714,1554.452
2021-05,1474.692,465.17,4977.786,2941.709,1999.789
2021-06,1415.825,455.45,5737.106,2997.814,958.16
2021-07,1459.159,470.42,5148.826,2917.223,1400.905
2021-08,1429.887,462.97,4827.719,2832.01,1429.09
2021-09,1388.844,458.33,3073.34,2283.613,982.723
2021-10,1421.431,470.68,3058.975,1711.041,1673.321
2021-11,1379.544,448.3,3107.912,944.319,1737.581
2021-12,1473.714,468.43,3052.425,987.655,2835.745
2022-01,1394.095,480.01,2482.766,1287.089,2508.165
2022-02,1263.532,435.46,1687.299,1667.39,2260.935
2022-03,1419.215,475.01,1592.591,2308.716,2038.944
2022-04,1287.957,456.73,1941.318,2814.199,2394.07
2022-05,1288.236,461.08,3508.899,3128.272,1133.301
2022-06,1230.113,429.02,3564.529,3273.44,1276.994
2022-07,1342.691,454.09,3403.576,3545.207,1020.959
2022-08,1346.087,456.37,2670.772,3057.37,1209.503
2022-09,1292.141,439.31,2185.392,2444.312,1715.088
2022-10,1403.559,455.29,1995.281,2103.594,1073.291
2022-11,1386.163,442.53,2406.908,1195.047,1959.89
2022-12,1436.876,459.44,2464.514,848.992,1716.768
2023-01,1365.935,458.35,2192.18,1091.262,2279.148
2023-02,1199.785,413.71,1628.128,1720.932,1817.07
2023-03,1348.912,442.25,1778.736,2634.623,2563.926
2023-04,1134.682,441.65,1693.118,3100.507,2164.684
2023-05,1201.106,461.67,4278.871,2928.602,1520.289
2023-06,1232.867,436.39,4975.294,3514.444,1034.758
2023-07,1342.126,445.34,4505.147,3866.955,1347.325
2023-08,1316.804,439.33,4044.993,3736.684,1736.476
2023-09,1272.827,444.98,3647.93,2990.917,1644.296
2023-10,1272.416,462.07,3400.854,2276.577,1860.115
2023-11,1206.837,443.59,4255.14,1534.002,2968.322
2023-12,1212.193,457.73,3379.762,1178.11,2427.778
2024-01,1331.514,458.98,3093.535,1335.499,2802.462
2024-02,1225.247,432.65,2715.592,1709.64,2276.592
2024-03,1341.663,459.56,4022.338,2669.438,2402.7
2024-04,1261.416,437.73,4748.117,3683.111,2077.625
2024-05,1277.634,441.71,5755.507,3987.621,1674.44
2024-06,1256.329,423.54,6432.878,4137.569,1323.947
2024-07,1365.309,448.0,6197.728,4722.177,1190.303
2024-08,1233.69,428.56,4364.867,4300.889,907.586
2024-09,1211.964,422.23,3947.64,3200.009,1612.766
2024-10,1150.169,437.87,5393.606,2248.841,1366.284
2024-11,1162.11,428.19,3234.161,2007.648,1748.403
2024-12,1240.074,447.98,2296.141,1658.012,2625.778
2025-01,1086.985,452.76,3048.769,1530.077,2562.358
2025-02,1004.514,402.91,2577.95,2066.715,1276.886
2025-03,1174.443,446.52,2897.917,3418.674,2230.602
2025-04,1090.33,437.47,3703.166,4353.635,1930.346
2025-05,1128.388,446.11,5306.513,5042.486,1871.974
2025-06,1026.236,426.79,5152.992,5663.28,1219.253
2025-07,1038.958,440.14,4416.852,5566.514,1825.365
2025-08,1072.957,444.46,3831.583,5110.975,1495.23
2025-09,1039.814,429.96,3823.546,4181.265,1242.186
2025-10,1156.928,440.78,2816.993,3321.774,2319.776
2025-11,1163.135,433.66,2617.487,2280.879,1803.716
2025-12,1442.446,445.86,2156.282,1777.739,1469.436
2026-01,1233.227,416.31,2559.285,1651.102,2974.892
2026-02,1119.826,369.8,2525.29,2356.819,2757.129
